na_twin,kg/kg
-4,0.516393443
-3,0.516393443
-2,0.516393443
-1,0.516393443
0,0.516393443
1,0.516393443
2,0.516393443
3,0.516393443
4,0.516393443
5,0.516393443
6,0.086065574
7,0.086065574
8,0.086065574
9,0.086065574
10,0.086065574
11,0.086065574
12,0.086065574
13,0.086065574
14,0.086065574
15,0.086065574
16,0.086065574
17,0.086065574
18,0.086065574
19,0.086065574
20,0.086065574
21,0.172131148
22,0.258196721
23,0.344262295
24,0.516393443
25,0.602459016
26,0.68852459
27,0.774590164
28,0.860655738
29,0.860655738
30,0.860655738
31,0.860655738
32,0.860655738
33,0.860655738
34,0.860655738
35,0.860655738
